,agent1
ep1498,15.0
ep1499,16.0
ep1500,7.0
ep1501,16.0
ep1502,15.0
ep1503,16.0
ep1504,15.0
ep1505,16.0
ep1506,16.0
ep1507,15.0
ep1508,16.0
ep1509,16.0
ep1510,14.0
ep1511,16.0
ep1512,15.0
ep1513,15.0
ep1514,16.0
ep1515,16.0
ep1516,15.0
ep1517,16.0
ep1518,13.0
ep1519,16.0
ep1520,14.0
ep1521,16.0
ep1522,16.0
ep1523,13.0
ep1524,16.0
ep1525,16.0
ep1526,12.0
ep1527,16.0
ep1528,7.0
ep1529,15.0
ep1530,15.0
ep1531,16.0
ep1532,16.0
ep1533,16.0
ep1534,16.0
ep1535,16.0
ep1536,16.0
ep1537,9.0
ep1538,16.0
ep1539,11.0
ep1540,12.0
ep1541,11.0
ep1542,15.0
ep1543,16.0
ep1544,13.0
ep1545,16.0
ep1546,16.0
ep1547,16.0
ep1548,16.0
ep1549,16.0
ep1550,16.0
ep1551,16.0
ep1552,16.0
ep1553,16.0
ep1554,16.0
ep1555,16.0
ep1556,16.0
ep1557,12.0
ep1558,16.0
ep1559,16.0
ep1560,16.0
ep1561,12.0
ep1562,16.0
ep1563,16.0
ep1564,15.0
ep1565,15.0
ep1566,14.0
ep1567,16.0
ep1568,16.0
ep1569,13.0
ep1570,9.0
ep1571,16.0
ep1572,16.0
ep1573,14.0
ep1574,15.0
ep1575,15.0
ep1576,12.0
ep1577,16.0
ep1578,16.0
ep1579,16.0
ep1580,14.0
ep1581,16.0
ep1582,9.0
ep1583,7.0
ep1584,16.0
ep1585,16.0
ep1586,16.0
ep1587,16.0
ep1588,16.0
ep1589,13.0
ep1590,13.0
ep1591,13.0
ep1592,14.0
ep1593,13.0
ep1594,16.0
ep1595,16.0
ep1596,13.0
ep1597,16.0
ep1598,13.0
ep1599,16.0
ep1600,16.0
ep1601,10.0
ep1602,16.0
ep1603,16.0
ep1604,16.0
ep1605,16.0
ep1606,16.0
ep1607,11.0
ep1608,16.0
ep1609,16.0
ep1610,14.0
ep1611,13.0
ep1612,16.0
ep1613,15.0
ep1614,11.0
ep1615,16.0
ep1616,16.0
ep1617,11.0
ep1618,9.0
ep1619,16.0
ep1620,13.0
ep1621,16.0
ep1622,10.0
ep1623,15.0
ep1624,16.0
ep1625,16.0
ep1626,16.0
ep1627,16.0
ep1628,12.0
ep1629,11.0
ep1630,16.0
ep1631,15.0
ep1632,16.0
ep1633,16.0
ep1634,16.0
ep1635,16.0
ep1636,16.0
ep1637,14.0
ep1638,7.0
ep1639,11.0
ep1640,16.0
ep1641,16.0
ep1642,16.0
ep1643,13.0
ep1644,16.0
ep1645,16.0
ep1646,16.0
ep1647,16.0
ep1648,16.0
ep1649,16.0
ep1650,16.0
ep1651,16.0
ep1652,16.0
ep1653,12.0
ep1654,15.0
ep1655,16.0
ep1656,9.0
ep1657,13.0
ep1658,14.0
ep1659,16.0
ep1660,9.0
ep1661,16.0
ep1662,16.0
